"Pays";"Institution";Nombre;"Etat";"Mise à jour";"Selection";"Traduction";"Plus ancien";"Plus récent";"Licence";
France;Tribunal administratif de Châlons-sur-Marne;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Clermont-Ferrand;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Dijon;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Fort-de-France;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Grenoble;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Lille;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Limoges;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Lyon;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Marseille;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Montpellier;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Montpellier ordonnance du president;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Nancy;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Nantes;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Nice;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Nouméa;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Papeete;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Paris;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Pau;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Poitiers;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Rennes;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Rouen;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Saint-Denis-de-la-Réunion;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Strasbourg;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Toulouse;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de Versailles;;E;Q;P et I;;;;Légifrance
France;Tribunal administratif de melun;;;;;;;;
France;Tribunal d'instance d'Angers;;E;Q;P et I;;;;Légifrance
France;Tribunal d'instance d'Auch;;E;Q;P et I;;;;Légifrance
France;Tribunal d'instance d'Illkirch-Graffenstaden;;E;Q;P et I;;;;Légifrance
France;Tribunal d'instance de Condom;;E;Q;P et I;;;;Légifrance
France;Tribunal de commerce de Douai;;E;Q;P et I;;;;Légifrance
France;Tribunal de grande instance d'Auch;;E;Q;P et I;;;;Légifrance
France;Tribunal de grande instance de Paris;;E;Q;P et I;;;;Légifrance
France;Tribunal des conflits;;E;Q;P et I;;;;Légifrance
Gabon;Cour d'appel de libreville;;;;;;;;
Gabon;Cour de cassation;;T;P;R;;;;ODBL/AHJUCAF
Gabon;Tribunal de première instance de port-gentil;;;;;;;;
Guinée;Cour suprême;;E;A;R;;;;ODBL/AHJUCAF
Haïti;Cour de cassation;;E;A;R;;;;ODBL/AHJUCAF
Hongrie;Cour suprême;;T;P;R;Hongrois;;;ODBL/AHJUCAF
Liban;Cour de cassation;;T;P;R;Arabe;;;ODBL/AHJUCAF
Luxembourg;Cour administrative;;;;;;;;
Luxembourg;Cour constitutionnelle;;E;I;R;;;;Non
Luxembourg;Cour de cassation;;E;A;R;;;;Non
Luxembourg;Juridictionsadministratives;;;;;;;;
Luxembourg;Tribunal administratif;;E;I;R;;;;Non
Madagascar;Cour suprême;;E;S;P et I;;;;ODBL/AHJUCAF
Madagascar;Haute cour constitutionelle;;;;;;;;
Madagascar;La haute cour constitutionelle du madagascar;;;;;;;;
Mali;Cour suprême;;E;S;R;;;;ODBL/AHJUCAF
Maroc;Cour d'appel;;;;;;;;
Maroc;Cour d'appel administrative;;;;;;;;
Maroc;Cour d'appel de commerce;;;;;;;;
Maroc;Cour de cassation;;;;;;;;
Maroc;Cour de cassation française;;;;;;;;
Maroc;Cour suprême;;T;P;R;Arabe en majorité;;;ODBL/AHJUCAF
Maroc;Tribunal administratif;;;;;;;;
Maroc;Tribunal de commerce;;;;;;;;
Maroc;Tribunal de première instance;;;;;;;;
Mauritanie;Cour criminelle de nouakchott;;;;;;;;
Mauritanie;Cour criminelle de nouakchott  ouest;;;;;;;;
Mauritanie;Cour criminelle de nouakchott ouest;;;;;;;;
Mauritanie;Cour d’appel  de nouakchott;;;;;;;;
Mauritanie;Cour suprême;;T;P;R;Arabe;;;ODBL/AHJUCAF
Monaco;Cour de révision;;E;I;R;;;;Non
Monaco;Tribunal suprême;;;;;;;;
Niger;Cor de cassation;;;;;;;;
Niger;Cour d'appel de niamey;;;;;;;;
Niger;Cour d'appel de zinder;;;;;;;;
Niger;Cour d'etat;;;;;;;;
Niger;Cour de cassation;;;;;;;;
Niger;Cour suprême;;E;S;P;;;;ODBL/AHJUCAF
Niger;Cour suprême du niger;;;;;;;;
Niger;Tribunal de première instance de niamey;;;;;;;;
OHADA;Cour commune de justice et d'arbitrage;;E;I;P;;;;Non
Organisation des États américains;Cour interaméricaine des droits de l'homme;;E;A;P;Anglais;;;Non
Pays;Institution;;Etat;Mise à jour;Selection;Traduction;;;Licence
Pologne;Cour suprême;;T;P;P;Polonais;;;ODBL/AHJUCAF
Roumanie;Cour de cassation;;;;;;;;
Roumanie;Haute cour de cassation et de justice;;E;S;R;Roumain;;;ODBL/AHJUCAF
Roumanie;Haute cour de cassation et de justice (chambre civile et de propriété intellectuelle);;;;;;;;
Roumanie;Haute cour de cassation et de justice (chambre de contentieux administratif et fiscal);;;;;;;;
Roumanie;Haute cour de cassation et de justice (chambre pénale);;;;;;;;
Rwanda;Cour suprême;;T;P;R;Kinyarwanda;;;ODBL/AHJUCAF
République Tchèque;Cour suprême;;E;S;R;Tchèque;;;ODBL/AHJUCAF
Sao Tomé et Principe;Cour suprême;;T;P;R;Portugais;;;ODBL/AHJUCAF
Suisse;Tribunal fédéral suisse;;E;S;R;;;;Non
Sénégal;Cour d'appel de dakar;;;;;;;;
Sénégal;Cour de cassation;;E;S;R;;;;ODBL/AHJUCAF
Sénégal;Cour suprême;;;;;;;;
Sénégal;Tribunal de grande instance hors classe de dakar;;;;;;;;
Sénégal;Tribunal de première instance de dakar;;;;;;;;
Sénégal;Tribunal régional hors classe de dakar;;;;;;;;
Tchad;Cour suprême;;E;S;R;;;;ODBL/AHJUCAF
Togo;Cour d'appel de lomé;;;;;;;;
Togo;Cour suprême;;E;I;R;;;;Non
Togo;Tribunal de première instance de lomé;;;;;;;;
Tunisie;Cour d'appel de sfax;;;;;;;;
Tunisie;Cour de cassation;;T;I;R;Arabe;;;ODBL/AHJUCAF
UEMOA;Cour de justice;;E;A;R;;;;ODBL/AHJUCAF
Union Africaine;Cour africaine des droits de l'homme et des peuples;;E;A;R;;;;Non
Vietnam;Cour populaire suprême;;T;P;R;Vietnamien;;;ODBL/AHJUCAF
