"France";"Tribunal de grande instance d'Auch";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal de grande instance de Paris";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal des conflits";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal d'instance d'Angers";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal d'instance d'Auch";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal d'instance de Condom";"E";"Q";"P et I";;"Légifrance"
"France";"Tribunal d'instance d'Illkirch-Graffenstaden";"E";"Q";"P et I";;"Légifrance"
"Gabon";"Cour de cassation";"T";"P";"R";;"ODBL/AHJUCAF"
"Guinée";"Cour suprême";"E";"A";"R";;"ODBL/AHJUCAF"
"Haïti";"Cour de cassation";"E";"A";"R";;"ODBL/AHJUCAF"
"Hongrie";"Cour suprême";"T";"P";"R";"hongrois";"ODBL/AHJUCAF"
"Liban";"Cour de cassation";"T";"P";"R";"arabe";"ODBL/AHJUCAF"
"Luxembourg";"Cour constitutionnelle";"E";"I";"R";;"Non"
"Luxembourg";"Cour de cassation";"E";"A";"R";;"Non"
"Luxembourg";"Tribunal administratif";"E";"I";"R";;"Non"
"Madagascar";"Cour suprême";"E";"S";"P et I";;"ODBL/AHJUCAF"
"Mali";"Cour suprême";"E";"S";"R";;"ODBL/AHJUCAF"
"Maroc";"Cour suprême";"T";"P";"R";"arabe en majorité";"ODBL/AHJUCAF"
"Mauritanie";"Cour suprême";"T";"P";"R";"arabe";"ODBL/AHJUCAF"
"Monaco";"Cour de révision";"E";"I";"R";;"Non"
"Nations Unies";"Cour internationale de justice";"E";"I";"P";;"Non"
"Nations Unies";"Tribunal international du droit de la mer";"E";"I";"P";;"Non"
"Niger";"Cour suprême";"E";"S";"P";;"ODBL/AHJUCAF"
"OHADA";"Cour commune de justice et d'arbitrage";"E";"I";"P";;"Non"
"Organisation des États américains";"Cour interaméricaine des droits de l'homme";"E";"A";"P";"anglais";"Non"
"Pologne";"Cour suprême";"T";"P";"P";"polonais";"ODBL/AHJUCAF"
"République Tchèque";"Cour suprême";"E";"S";"R";"tchèque";"ODBL/AHJUCAF"
"Roumanie";"Haute cour de cassation et de justice";"E";"S";"R";"roumain";"ODBL/AHJUCAF"
"Rwanda";"Cour suprême";"T";"P";"R";"Kinyarwanda";"ODBL/AHJUCAF"
"Sao Tomé et Principe";"Cour suprême";"T";"P";"R";"portugais";"ODBL/AHJUCAF"
"Sénégal";"Cour de cassation";"E";"S";"R";;"ODBL/AHJUCAF"
"Suisse";"Tribunal fédéral suisse";"E";"S";"R";;"Non"
"Tchad";"Cour suprême";"E";"S";"R";;"ODBL/AHJUCAF"
"Togo";"Cour suprême";"E";"I";"R";;"Non"
"Tunisie";"Cour de cassation";"T";"I";"R";"arabe";"ODBL/AHJUCAF"
"UEMOA";"Cour de justice";"E";"A";"R";;"ODBL/AHJUCAF"
"Union Africaine";"Cour africaine des droits de l'homme et des peuples";"E";"A";"R";;"Non"
"Union Européenne";"Cour de justice";"E";"I";"R";;"Non"
"Vanuatu";"Tribunal mixte";"T";"P";"R";;"Non"
"Vietnam";"Cour populaire suprême";"T";"P";"R";"vietnamien";"ODBL/AHJUCAF"
