"Pays";"Institution";"Nombre";analyses;sens_arret;decisions_attaquees;parties;references;nor;ecli;type_affaire;type_recours;president;avocat_gl;rapporteur;commissaire_gvt;avocats;saisines
"France";"Tribunal administratif de Rennes";294;294;294;0;0;294;0;0;294;293;293;0;290;287;0;0
"France";"Tribunal administratif de Rouen";256;256;253;0;0;256;0;0;256;254;254;0;249;243;0;0
"France";"Tribunal administratif de Saint-Denis-de-la-Réunion";84;84;80;0;0;84;0;0;84;81;83;0;83;81;0;0
"France";"Tribunal administratif de Strasbourg";316;316;314;0;0;316;0;0;316;316;315;0;313;305;0;0
"France";"Tribunal administratif de Toulouse";103;103;100;0;0;103;0;0;103;100;101;0;97;92;0;0
"France";"Tribunal administratif de Versailles";710;710;704;0;0;710;0;0;710;702;709;0;697;689;0;0
"France";"Tribunal administratif d'Orléans";148;143;137;0;0;148;0;0;148;148;144;0;143;139;7;0
"France";"Tribunal de commerce de Douai";1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"France";"Tribunal de grande instance d'Auch";1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"France";"Tribunal de grande instance de Paris";116;5;0;116;0;4;0;0;0;0;53;0;0;0;0;0
"France";"Tribunal des conflits";2031;1703;866;584;0;2031;0;2031;1485;867;1836;583;2022;1443;502;0
"France";"Tribunal d'instance d'Angers";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"France";"Tribunal d'instance d'Auch";1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0
"France";"Tribunal d'instance de Condom";1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"France";"Tribunal d'instance d'Illkirch-Graffenstaden";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"Gabon";"Cour de cassation";13;1;8;12;12;0;0;0;0;0;0;0;0;0;0;0
"Guinée";"Cour suprême";78;3;2;3;78;22;0;0;0;0;0;0;0;0;0;0
"Haïti";"Cour de cassation";62;14;19;12;19;1;0;0;0;0;0;0;0;0;0;0
"Hongrie";"Cour suprême";3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"Liban";"Cour de cassation";16;15;14;13;16;2;0;0;0;0;0;0;0;0;0;0
"Luxembourg";"Cour constitutionnelle";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Luxembourg";"Cour de cassation";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Luxembourg";"Tribunal administratif";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Madagascar";"Cour suprême";3060;80;81;25;2530;2917;0;0;0;0;0;0;0;0;0;0
"Mali";"Cour suprême";757;5;5;6;6;0;0;0;0;0;0;0;0;0;0;0
"Maroc";"Cour suprême";1607;1151;21;21;18;1;0;0;0;0;0;0;0;0;0;0
"Mauritanie";"Cour suprême";5;5;3;5;5;0;0;0;0;0;0;0;0;0;0;0
"Monaco";"Cour de révision";6;6;5;6;5;0;0;0;0;0;0;0;0;0;0;0
"Niger";"Cour suprême";1532;22;21;20;406;1121;0;0;0;0;0;0;0;0;0;0
"OHADA";"Cour commune de justice et d'arbitrage";2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0
"Organisation des États américains";"Cour interaméricaine des droits de l'homme";3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0
"Pologne";"Cour suprême";8;7;0;6;5;3;0;0;0;0;0;0;0;0;0;0
"République Tchèque";"Cour suprême";59;59;32;36;5;6;0;0;0;0;0;0;0;0;0;0
"Roumanie";"Haute cour de cassation et de justice";388;388;381;377;378;1;0;0;0;0;0;0;0;0;0;0
"Rwanda";"Cour suprême";5;5;5;4;5;0;0;0;0;0;0;0;0;0;0;0
"Sao Tomé et Principe";"Cour suprême";4;4;4;1;4;0;0;0;0;0;0;0;0;0;0;0
"Sénégal";"Cour de cassation";1192;309;303;303;308;239;0;0;0;0;0;0;0;0;0;0
"Suisse";"Tribunal fédéral suisse";23881;5102;0;0;0;5104;0;0;0;0;0;0;0;0;0;0
"Tchad";"Cour suprême";380;14;301;292;369;63;0;0;0;0;0;0;0;0;0;0
"Togo";"Cour suprême";6;4;5;5;5;0;0;0;0;0;0;0;0;0;0;0
"Tunisie";"Cour de cassation";4;4;3;4;4;4;0;0;0;0;0;0;0;0;0;0
"UEMOA";"Cour de justice";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Union Africaine";"Cour africaine des droits de l'homme et des peuples";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Cour populaire suprême";3;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0
