"Pays";"Institution";Nombre;"Etat";"Mise à jour";"Selection";"Traduction";"Plus ancien";"Plus récent";"Licence"
"France";"Tribunal administratif de Nice";237;"E";"Q";"P et I";"";"26/04/1967";"18/06/2002";"Légifrance"
"France";"Tribunal administratif de Nouméa";42;"E";"Q";"P et I";"";"09/04/1985";"12/12/1998";"Légifrance"
"France";"Tribunal administratif de Papeete";43;"E";"Q";"P et I";"";"26/01/1988";"07/12/1990";"Légifrance"
"France";"Tribunal administratif de Paris";760;"E";"Q";"P et I";"";"08/01/1965";"27/05/2009";"Légifrance"
"France";"Tribunal administratif de Pau";130;"E";"Q";"P et I";"";"27/01/1965";"06/07/1995";"Légifrance"
"France";"Tribunal administratif de Poitiers";204;"E";"Q";"P et I";"";"03/02/1965";"09/07/1997";"Légifrance"
"France";"Tribunal administratif de Rennes";294;"E";"Q";"P et I";"";"24/03/1965";"19/03/1998";"Légifrance"
"France";"Tribunal administratif de Rouen";256;"E";"Q";"P et I";"";"12/03/1965";"30/06/2000";"Légifrance"
"France";"Tribunal administratif de Saint-Denis-de-la-Réunion";84;"E";"Q";"P et I";"";"19/05/1971";"29/11/2000";"Légifrance"
"France";"Tribunal administratif de Strasbourg";316;"E";"Q";"P et I";"";"29/03/1966";"07/07/1998";"Légifrance"
"France";"Tribunal administratif de Toulouse";103;"E";"Q";"P et I";"";"01/10/1965";"05/11/1998";"Légifrance"
"France";"Tribunal administratif de Versailles";710;"E";"Q";"P et I";"";"02/02/1966";"23/10/2001";"Légifrance"
"France";"Tribunal administratif d'Orléans";148;"E";"Q";"P et I";"";"01/06/1965";"19/05/2005";"Légifrance"
"France";"Tribunal de commerce de Douai";1;"E";"Q";"P et I";"";"20/06/2006";"20/06/2006";"Légifrance"
"France";"Tribunal de grande instance d'Auch";1;"E";"Q";"P et I";"";"28/06/2006";"28/06/2006";"Légifrance"
"France";"Tribunal de grande instance de Paris";116;"E";"Q";"P et I";"";"10/05/2006";"22/12/2006";"Légifrance"
"France";"Tribunal des conflits";2031;"E";"Q";"P et I";"";"08/02/1873";"15/10/2012";"Légifrance"
"France";"Tribunal d'instance d'Angers";1;"E";"Q";"P et I";"";"10/01/2006";"10/01/2006";"Légifrance"
